"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.120086669922","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","421.022478249281","437.950013010873","369.313601341213","394.936611010196","495.762861807271","501.046816648284","568.740972906078","615.524824250953","709.173361104789","786.170337622647","921.25357933184","984.149481114543","1188.2371012839","700.950958617768","914.573709192539","916.345288757364","1051.81649636062","1028.850878489","1125.82863261709","","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175.923250592816","","","","","","","","","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","898.117299929581","882.79177376169","871.59671592564","861.08185882775","938.658800193776","914.746121085446","1026.41672358627","1070.09825903509","1223.78746615124","1253.42096023522","1457.19827020133","1454.24928050446","1692.11844041713","1129.47245332623","1475.1491617122","1404.02497601195","1575.38644741024","1551.63725542539","1650.25810639497","","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2049.87247368091","1979.70561602084","1936.05180260446","1923.31327406251","1936.36459038861","1832.96693344618","1956.41822467439","1947.17547555354","2007.8409767162","","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2283.63143818156","2265.63380956833","2213.05223528006","2309.61088458451","2359.22322923426","2436.90705021924","2450.36033129149","2518.5757962306","2600.71124910764","2651.73329673525","2641.50376548976","2636.12033844578","2709.65919828141","2734.75980931108","2791.57916759544","2739.95407248769","2891.80894295447","2926.68132052547","2995.07325388089","","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1358871459961","78.1551971435547","83.3615112304688","","","39.9914283752441","42.0744781494141","48.5341911315918","","","70.5208969116211","65.0453262329102","103.233062744141","118.349822998047","141.300018310547","180.295440673828","","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636.077453613281","442.269134521484","437.057830810547","496.728485107422","496.116180419922","521.739807128906","543.88623046875","681.611694335938","","",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132.58576116694","2146.47683201411","2239.51929884642","2300.62547067795","2452.99308319227","2481.58703619842","2577.77789315289","2590.46862666815","2731.18099372951","2764.29927126485","2884.66213385934","2998.07893917172","3177.25573256755","3254.00014930971","3364.68246523246","3406.65926960843","3519.75209338247","3564.15259660677","3574.16249187554","","",
